Marca temporal,¿Cuál consideras que es tu nivel previo en programación?,¿Has tenido contacto previo con algún lenguaje de programación? (Puedes marcar varios),¿Cuál crees que será tu mayor desafío a la hora de aprender a programar?,Provincia,Localidad:,País:,Ocupación:,¿Trabajas en el campo de la tecnología (IT)?,Edad:,Gustos e Intereses (pueden ser múltiples):,¿Qué tipo de contenido te gustaría ver en futuras clases o actividades?Que temas te interesan para ver en la materia Programación 1. Que Programas te gustaría realizar ?,¿Tienes alguna sugerencia para mejorar el ambiente en clase?,¿Que te parece que se puede hacer para incentivar uso de las camaras en las clases?,Algún libro / video / documento sobre IT que te gustó para recomendar ?,Libros o películas en general para recomendar?,"Pregunta abierta, considera poner lo que quieras.."
28/8/2026 12:23:48,Ninguno (Es mi primera vez viendo código),Ninguno,Manejar la frustración cuando el código da errores,Buenos Aires,Lomas de Zamora ,Argentina ,Trabajador tiempo completo,No,25-34 años,"Deportes, Tecnología, Música, Arte","Programación en un entorno ""real"". Cómo el deportivo. Ejemplo, tenis o fútbol ","Considerar que algunos (al menos yo) tengo poco, o nulo conocimiento sobre programación, explicar desde lo más ""obvio"".",Actividades resolutivas a través de juegos. (Cabe destacar que en el horario de clase no me puedo conectar porque estoy trabajando. Soy profesor de educación física).,,La casa del dragón. ,
28/8/2026 12:44:47,"Básico (Conozco qué es una variable o un ""if"", pero me cuesta armar un programa)",Python,La lógica y resolución de problemas,Buenos Aires,Adrogué,Argentina,Trabajador tiempo completo,No,35-44 años,"Deportes, Música, Viajes",Programas que me faciliten la diaria en el trabajo (automatizar).,,Algún tipo de juego., Cursos de Lucas Dalto( you tube).,"Estoy viendo la Serie Silo (apple tv), muy recomendable.","Si bien no me encuentro trabajando en áreas tecnológicas directamente, siento que puedo llegar a tener una herramienta que puede generarme nuevas posibilidades. Me resulta muy interesante y aplicable a un montón de cosas."
31/8/2026 21:57:01,Ninguno (Es mi primera vez viendo código),Ninguno,Aprender la sintaxis y comandos del lenguaje,Alberta,Calgary,Canada,Trabajador tiempo completo,No,25-34 años,"Lectura, Música, Viajes",,,,,,
1/9/2026 19:27:47,Ninguno (Es mi primera vez viendo código),Ninguno,Hacerme el tiempo para practicar,Buenos Aires ,Lomas de Zamora ,Argentina,Trabajador tiempo completo,No,25-34 años,"Deportes, Tecnología, Música",Mas actividades grupales para poder ayudarnos entre los compañeros y para poder sacarnos las dudas después con el profe,Ninguna realmente se me hace didáctico ,No se me ocurre,,Pelicula The Social Network,Que te hizo elegir la programacion?
1/9/2026 19:29:36,Ninguno (Es mi primera vez viendo código),Ninguno,Manejar la frustración cuando el código da errores,BUENOS AIRES,MORON,Argentina,Trabajador tiempo completo,No,35-44 años,"Deportes, Tecnología, Viajes",me inclino a los programas más innovadores a largo plazo,me cae muy bien la energía del profe,"en mi caso, cuido a mi hija y para no interrumpir la clase, apago la camara",sin info,volver al futuro,"es una opinion, de todos los profes de la carrera, me interesa que usted sea mi mentor por la actitud y los pasatiempos que tiene ( tmb hago natación y tengo familia )"
1/9/2026 19:29:44,Intermedio (He hecho pequeños programas o scripts antes que funcionan),"Python, JavaScript, Java, HTML / CSS (Desarrollo Web)",Incorporar IA de manera correcta,Mendoza,Luján de Cuyo,Argentina,Trabajador tiempo completo,No,35-44 años,"Deportes, Tecnología, Viajes","Me gustaría hacer algún programa para medir métricas y analizar datos del sector ""Compras"" de una empresa",Por el momento no,Fotos grupales,Ninguno,Red Social,"Me gustaría que está carrera me ayude a poder insertarme laboralmente en el sector IT, tanto como programador o analista de datos."
1/9/2026 19:29:48,Intermedio (He hecho pequeños programas o scripts antes que funcionan),"Python, Java, Vi mucho pseint en la secundaria y un poco de java nada mas.",Manejar la frustración cuando el código da errores,Buenos Aires,CABA,Argentina,Estudiante,No,18-24 años,"Deportes, Tecnología, Música","Me gusta mucho cuando es algo interactivo, por ejemplo en la clase que hicimos el Kahoot para hacer algo más dinámico.",El tema de hacer más interactivas las clases.,"Este tema depende de que cada persona, ya que algunos tienen que hacer otras actividades durante la clase.",Me gusta mucho el contenido de Soy Dalto.,,¿Vamos a ver otro lenguaje de programación o solo Python? Es una pregunta por pura curiosidad.
1/9/2026 19:31:35,"Básico (Conozco qué es una variable o un ""if"", pero me cuesta armar un programa)","Python, JavaScript, HTML / CSS (Desarrollo Web)",Aprender la sintaxis y comandos del lenguaje,Buenos Aires,Belen de Escobar,Argentina,"Estudiante, Trabajador tiempo completo",No,25-34 años,"Deportes, Tecnología, Música, Viajes, Arte",Softwares de gestion para pymes,Ninguna ,,,Game of thrones,La materia que mas entiendo con fluidez de la carrera. Saludos profe jeje
1/9/2026 19:50:51,Avanzado (Ya programo con fluidez y entiendo lógica compleja),"JavaScript, C / C++, HTML / CSS (Desarrollo Web), Typescript",Hacerme el tiempo para practicar,Salta,Salta,Argentina,"Estudiante, Freelance",Sí,25-34 años,"Deportes, Tecnología, Música, Videojuegos",,,,,,
1/9/2026 22:38:49,Ninguno (Es mi primera vez viendo código),Ninguno,Al no tener ningún tipo de conocimiento el principal desafio es conocer y entender la dinamica en programacion.,Buenos Aires,La Plata,Argentina,Trabajador tiempo completo,No,25-34 años,"Tecnología, Viajes",Me gustaría aprender a realizar programas de gestión,Creo que se va muy rápido y se dan cosas por sabidas que en particular desconocía por completo y eso hace que se dificulte seguir el ritmo de la cursada,,Desconozco,,
